,investment_sector
BURL,US Mid Cap Growth
CABO,US Mid Cap Growth
COG,US Mid Cap Growth
KMX,US Mid Cap Growth
CVNA,US Mid Cap Growth
CASY,US Mid Cap Growth
CTLT,US Mid Cap Growth
CRL,US Mid Cap Growth
CHGG,US Mid Cap Growth
CHE,US Mid Cap Growth
CHH,US Mid Cap Growth
CHDN,US Mid Cap Growth
CIEN,US Mid Cap Growth
CGNX,US Mid Cap Growth
CPRT,US Mid Cap Growth
COR,US Mid Cap Growth
COUP,US Mid Cap Growth
CACC,US Mid Cap Growth
CONE,US Mid Cap Growth
DECK,US Mid Cap Growth
DLB,US Mid Cap Growth
DPZ,US Mid Cap Growth
DBX,US Mid Cap Growth
DT,US Mid Cap Growth
ELAN,US Mid Cap Growth
EBS,US Mid Cap Growth
ENPH,US Mid Cap Growth
ENTG,US Mid Cap Growth
EPAM,US Mid Cap Growth
ERIE,US Mid Cap Growth
ETSY,US Mid Cap Growth
EEFT,US Mid Cap Growth
EVBG,US Mid Cap Growth
EXAS,US Mid Cap Growth
EXEL,US Mid Cap Growth
EXPD,US Mid Cap Growth
EXPO,US Mid Cap Growth
FDS,US Mid Cap Growth
FICO,US Mid Cap Growth
FR,US Mid Cap Growth
FIVE,US Mid Cap Growth
FIVN,US Mid Cap Growth
FLT,US Mid Cap Growth
FND,US Mid Cap Growth
FTNT,US Mid Cap Growth
FRHC,US Mid Cap Growth
FCN,US Mid Cap Growth
IT,US Mid Cap Growth
GLIBA,US Mid Cap Growth
GNRC,US Mid Cap Growth
GMED,US Mid Cap Growth
GDDY,US Mid Cap Growth
GGG,US Mid Cap Growth
GRUB,US Mid Cap Growth
GH,US Mid Cap Growth
GWRE,US Mid Cap Growth
HEI.A,US Mid Cap Growth
HUBS,US Mid Cap Growth
IAA,US Mid Cap Growth
IEX,US Mid Cap Growth
IMMU,US Mid Cap Growth
INCY,US Mid Cap Growth
IR,US Mid Cap Growth
IPHI,US Mid Cap Growth
PODD,US Mid Cap Growth
IBKR,US Mid Cap Growth
IONS,US Mid Cap Growth
IOVA,US Mid Cap Growth
IPGP,US Mid Cap Growth
JKHY,US Mid Cap Growth
JBHT,US Mid Cap Growth
KSU,US Mid Cap Growth
KEYS,US Mid Cap Growth
LW,US Mid Cap Growth
LANC,US Mid Cap Growth
LHCG,US Mid Cap Growth
LFUS,US Mid Cap Growth
LITE,US Mid Cap Growth
MKL,US Mid Cap Growth
MKTX,US Mid Cap Growth
MASI,US Mid Cap Growth
MRCY,US Mid Cap Growth
MTD,US Mid Cap Growth
MGP,US Mid Cap Growth
MRTX,US Mid Cap Growth
MKSI,US Mid Cap Growth
MDB,US Mid Cap Growth
MPWR,US Mid Cap Growth
MORN,US Mid Cap Growth
MyoKardia Inc,US Mid Cap Growth
Neogen Corp,US Mid Cap Growth
Neurocrine Biosciences Inc,US Mid Cap Growth
Nevro Corp,US Mid Cap Growth
New Relic Inc,US Mid Cap Growth
New York Times Co Class A,US Mid Cap Growth
Nordson Corp,US Mid Cap Growth
Old Dominion Freight Lines Inc,US Mid Cap Growth
Ollie's Bargain Outlet Holdings Inc,US Mid Cap Growth
Palo Alto Networks Inc,US Mid Cap Growth
Parsley Energy Inc A,US Mid Cap Growth
Paycom Software Inc,US Mid Cap Growth
Paylocity Holding Corp,US Mid Cap Growth
Pegasystems Inc,US Mid Cap Growth
Penumbra Inc,US Mid Cap Growth
Planet Fitness Inc A,US Mid Cap Growth
Polaris Inc,US Mid Cap Growth
Pool Corp,US Mid Cap Growth
Proofpoint Inc,US Mid Cap Growth
PTC Inc,US Mid Cap Growth
Pure Storage Inc A,US Mid Cap Growth
Q2 Holdings Inc,US Mid Cap Growth
Qualys Inc,US Mid Cap Growth
Quidel Corp,US Mid Cap Growth
RealPage Inc,US Mid Cap Growth
Redfin Corp,US Mid Cap Growth
Repligen Corp,US Mid Cap Growth
RH,US Mid Cap Growth
Roku Inc Class A,US Mid Cap Growth
Rollins Inc,US Mid Cap Growth
Sarepta Therapeutics Inc,US Mid Cap Growth
SEI Investments Co,US Mid Cap Growth
SelectQuote Inc Ordinary Shares,US Mid Cap Growth
Silicon Laboratories Inc,US Mid Cap Growth
SiteOne Landscape Supply Inc,US Mid Cap Growth
Skechers USA Inc,US Mid Cap Growth
Smartsheet Inc Class A,US Mid Cap Growth
SolarEdge Technologies Inc,US Mid Cap Growth
Sun Communities Inc,US Mid Cap Growth
Switch Inc Class A,US Mid Cap Growth
Take-Two Interactive Software Inc,US Mid Cap Growth
Teladoc Health Inc,US Mid Cap Growth
Teledyne Technologies Inc,US Mid Cap Growth
Teleflex Inc,US Mid Cap Growth
Teradyne Inc,US Mid Cap Growth
Tetra Tech Inc,US Mid Cap Growth
Texas Pacific Land Trust,US Mid Cap Growth
The Cooper Companies Inc,US Mid Cap Growth
The Scotts Miracle Gro Co A,US Mid Cap Growth
The Toro Co,US Mid Cap Growth
The Trade Desk Inc A,US Mid Cap Growth
Tractor Supply Co,US Mid Cap Growth
Tradeweb Markets Inc,US Mid Cap Growth
TransUnion,US Mid Cap Growth
Trex Co Inc,US Mid Cap Growth
Trinet Group Inc,US Mid Cap Growth
Twitter Inc,US Mid Cap Growth
Tyler Technologies Inc,US Mid Cap Growth
Ubiquiti Inc,US Mid Cap Growth
Ulta Beauty Inc,US Mid Cap Growth
Ultragenyx Pharmaceutical Inc,US Mid Cap Growth
Universal Display Corp,US Mid Cap Growth
Varian Medical Systems Inc,US Mid Cap Growth
Vulcan Materials Co,US Mid Cap Growth
Warner Music Group Corp Ordinary Shares - Class A,US Mid Cap Growth
Wayfair Inc Class A,US Mid Cap Growth
West Pharmaceutical Services Inc,US Mid Cap Growth
WEX Inc,US Mid Cap Growth
Wingstop Inc,US Mid Cap Growth
XPO Logistics Inc,US Mid Cap Growth
Xylem Inc,US Mid Cap Growth
Zebra Technologies Corp,US Mid Cap Growth
Zendesk Inc,US Mid Cap Growth
Zillow Group Inc A,US Mid Cap Growth
ZoomInfo Technologies Inc Ordinary Shares - Class A,US Mid Cap Growth
Zscaler Inc,US Mid Cap Growth
Zynga Inc Class A,US Mid Cap Growth
AOS,US Mid Cap Core
AAP,US Mid Cap Core
ALB,US Mid Cap Core
ARE,US Mid Cap Core
ALSN,US Mid Cap Core
ALLY,US Mid Cap Core
ATUS,US Mid Cap Core
UHAL,US Mid Cap Core
ACC,US Mid Cap Core
AMH,US Mid Cap Core
AWK,US Mid Cap Core
COLD,US Mid Cap Core
AMP,US Mid Cap Core
PLAN,US Mid Cap Core
AIV,US Mid Cap Core
APO,US Mid Cap Core
ATR,US Mid Cap Core
ARES,US Mid Cap Core
AJG,US Mid Cap Core
ASH,US Mid Cap Core
AVY,US Mid Cap Core
BLL,US Mid Cap Core
BERY,US Mid Cap Core
BJ,US Mid Cap Core
BR,US Mid Cap Core
BRKR,US Mid Cap Core
BC,US Mid Cap Core
BWXT,US Mid Cap Core
CHRW,US Mid Cap Core
CCMP,US Mid Cap Core
CACI,US Mid Cap Core
CZR,US Mid Cap Core
CSL,US Mid Cap Core
CBOE,US Mid Cap Core
CBRE,US Mid Cap Core
CDW,US Mid Cap Core
CERN,US Mid Cap Core
LNG,US Mid Cap Core
CQP,US Mid Cap Core
CHD,US Mid Cap Core
CINF,US Mid Cap Core
CFG,US Mid Cap Core
CTXS,US Mid Cap Core
